id,resource,access_level,description
1,SECURITY_USER,READ,View User
2,SECURITY_USER,CREATE,Create User
3,SECURITY_USER,UPDATE,Update User
4,SECURITY_USER,DELETE,Delete User
6,SECURITY_ROLE,READ,View Role
7,SECURITY_ROLE,CREATE,Create Role
8,SECURITY_ROLE,UPDATE,Update Role
9,SECURITY_ROLE,DELETE,Delete Role
11,SECURITY_GROUP,READ,View User Groups
12,SECURITY_GROUP,CREATE,Create User Groups
13,SECURITY_GROUP,UPDATE,Update User Groups
14,SECURITY_GROUP,DELETE,Delete User Groups
