id,resource,access_level,description

1,SYSTEM_MANAGEMENT,ADMIN,System administration

2,USER,READ,View User
3,USER,CREATE,Create User
4,USER,UPDATE,Update User
5,USER,DELETE,Delete User

6,ROLE,READ,View Role
7,ROLE,CREATE,Create Role
8,ROLE,UPDATE,Update Role
9,ROLE,DELETE,Delete Role

10,USER_GROUP,READ,View User Groups
11,USER_GROUP,CREATE,Create User Groups
12,USER_GROUP,UPDATE,Update User Groups
13,USER_GROUP,DELETE,Delete User Groups
